ABT
ABBV
AET
A
ALXN
ALGN
AGN
ABC
AMGN
ANTM
BCR
BAX
BDX
BIIB
BSX
BMY
CAH
CELG
CNC
CERN
CI
COO
DHR
DVA
XRAY
EW
EVHC
ESRX
GILD
HCA
HSIC
HOLX
HUM
IDXX
ILMN
INCY
ISRG
IQV
JNJ
LH
LLY
MCK
MDT
MRK
MTD
MYL
PDCO
PKI
PRGO
PFE
DGX
REGN
RMD
SYK
TMO
UNH
UHS
VAR
VRTX
WAT
ZBH
ZTS
