AAP
AMZN
AZO
BBY
BWA
KMX
CCL
CBS
CHTR
CMG
CMCSA
DHI
DRI
DLPH
DISCA
DISCK
DISH
DG
DLTR
EXPE
FL
F
GPS
GRMN
GM
GPC
GT
HBI
HOG
HAS
HLT
HD
IPG
KSS
LB
LEG
LEN
LKQ
LOW
M
MAR
MAT
MCD
MGM
KORS
MHK
NWL
NWSA
NWS
NKE
JWN
NCLH
ORLY
OMC
RL
PCLN
PHM
PVH
ROST
RCL
SNI
SIG
SNA
SWK
SBUX
TPR
TGT
TIF
TWX
TJX
TSCO
TRIP
FOXA
FOX
ULTA
UA
UAA
VFC
VIAB
DIS
WHR
WYN
WYNN
YUM
