MMM
AYI
ALK
ALLE
AAL
AME
AOS
ARNC
BA
CHRW
CAT
CTAS
CSX
CMI
DE
DAL
DOV
ETN
EMR
EFX
EXPD
FAST
FDX
FLS
FLR
FTV
FBHS
GD
GE
GWW
HON
INFO
ITW
IR
JEC
JBHT
JCI
KSU
LLL
LMT
MAS
NLSN
NSC
NOC
PCAR
PH
PNR
PWR
RTN
RSG
RHI
ROK
COL
ROP
LUV
SRCL
TXT
TDG
UNP
UAL
UPS
URI
UTX
VRSK
WM
XYL
