MO
ADM
BF.B
CPB
CHD
CLX
KO
CL
CAG
STZ
COST
COTY
CVS
DPS
EL
GIS
HSY
HRL
SJM
K
KMB
KHC
KR
MKC
TAP
MDLZ
MNST
PEP
PM
PG
SYY
TSN
WMT
WBA
