APC
ANDV
APA
BHGE
COG
CHK
CVX
XEC
CXO
COP
DVN
EOG
EQT
XOM
HAL
HP
HES
KMI
MRO
MPC
NOV
NFX
NBL
OXY
OKE
PSX
PXD
RRC
SLB
FTI
VLO
WMB
