ARE
AMT
AIV
AVB
BXP
CBG
CCI
DLR
DRE
EQIX
EQR
ESS
EXR
FRT
GGP
HCP
HST
IRM
KIM
MAC
MAA
PLD
PSA
O
REG
SBAC
SPG
SLG
UDR
VTR
VNO
HCN
WY
