timestamp,open,high,low,close,volume
2017-11-22,164.0000,164.5500,162.6600,163.2200,563008
2017-11-21,162.6900,164.3000,162.1900,163.7000,1894928
2017-11-20,161.1500,162.9200,160.5600,162.1900,1054133
2017-11-17,159.8900,161.3000,158.9000,160.5900,930166
2017-11-16,158.9400,161.5800,158.9400,160.1000,1091692
2017-11-15,157.7900,159.2300,156.7300,158.8200,1010063
2017-11-14,157.6400,159.9200,156.9400,159.3000,941146
2017-11-13,156.7000,158.7900,156.5000,158.0300,639527
2017-11-10,157.7000,157.8900,156.7200,156.9400,679297
2017-11-09,159.3800,159.9700,156.4500,157.9100,753245
2017-11-08,158.6200,160.5000,157.8500,160.0600,1051565
2017-11-07,158.7500,159.6200,158.1800,159.0700,863866
2017-11-06,158.0700,159.6000,157.4700,158.6400,969185
2017-11-03,156.2400,158.8000,154.7000,158.6900,1723441
2017-11-02,156.2000,156.9200,155.3400,155.5000,1287730
2017-11-01,157.0800,158.0900,156.1100,156.5600,1505493
2017-10-31,156.5300,157.7600,153.2500,156.4700,2748372
2017-10-30,161.5200,161.5900,156.1500,156.2500,1710478
2017-10-27,164.7800,164.8300,161.8000,162.1600,1695585
2017-10-26,163.0800,166.1700,162.1000,165.0000,2564219
2017-10-25,161.9000,162.2900,160.1800,160.9200,1036061
2017-10-24,162.0500,162.6500,161.1000,161.9000,809101
2017-10-23,162.3400,163.1100,161.5200,162.1000,586567
2017-10-20,160.2700,161.5600,160.0300,161.5500,1014056
2017-10-19,160.4800,160.9500,158.9300,159.4400,1193052
2017-10-18,161.9700,162.2900,161.1200,161.1500,959204
2017-10-17,162.7600,162.8700,161.1400,161.6800,849896
2017-10-16,161.8200,162.5300,161.5700,162.4600,1045747
2017-10-13,161.2800,162.9600,160.5500,161.8200,990468
2017-10-12,159.3200,161.6600,159.0200,161.1200,917117
2017-10-11,158.6600,159.1900,158.0100,159.0000,1497868
2017-10-10,159.2400,159.4800,158.6900,158.8000,635528
2017-10-09,158.9100,159.5700,158.3200,159.1700,528335
2017-10-06,159.4300,159.8200,158.0100,158.4500,732432
2017-10-05,159.7200,160.0000,158.5100,159.0400,747544
2017-10-04,159.3400,159.8200,159.0100,159.6000,688245
2017-10-03,157.3300,159.5500,157.0000,159.2100,685891
2017-10-02,156.8500,158.0600,156.4100,157.5200,772023
2017-09-29,155.2800,156.3500,154.9000,156.3100,602193
2017-09-28,154.7300,155.5300,154.3000,155.5300,904184
2017-09-27,155.9700,156.1400,154.7500,154.7700,717897
2017-09-26,155.5200,156.1900,154.7300,155.0700,826221
2017-09-25,156.5800,156.9100,154.5400,155.5200,804953
2017-09-22,155.7100,157.4700,155.6200,156.8200,794658
2017-09-21,155.4400,156.1000,154.9000,155.7500,536810
2017-09-20,156.0000,156.3700,155.2900,155.8300,629281
2017-09-19,154.8800,155.6600,154.1200,155.6100,881979
2017-09-18,154.5800,154.7300,153.8600,154.4300,839982
2017-09-15,153.6900,154.4100,153.2700,154.0000,1065101
2017-09-14,153.0500,153.7600,152.8100,153.7200,618920
2017-09-13,153.2600,153.7200,152.9500,153.4600,629415
2017-09-12,152.9000,153.6400,152.4800,153.6000,587025
2017-09-11,153.4000,153.7100,152.1400,152.7700,876405
2017-09-08,151.0800,152.6000,150.3400,151.9300,816278
2017-09-07,151.7600,152.3200,151.0700,151.4000,878571
2017-09-06,153.4900,153.7100,151.1300,151.2000,1756214
2017-09-05,153.1800,155.0000,152.8000,153.1800,841960
2017-09-01,154.6500,154.6600,153.2000,153.7200,897001
2017-08-31,154.0000,154.5700,153.4600,154.3300,1370270
2017-08-30,150.5800,153.9900,150.5400,153.5400,1185445
2017-08-29,150.7700,151.4700,149.9700,150.9200,950089
2017-08-28,151.5200,152.0500,151.2300,151.9900,563938
2017-08-25,151.9900,152.6300,151.0000,151.2700,580105
2017-08-24,151.1500,151.7200,150.4300,151.4500,531734
2017-08-23,151.6700,152.4400,151.2900,151.2900,666630
2017-08-22,150.6200,153.1100,150.2800,152.8400,667183
2017-08-21,150.1500,150.5400,149.0400,149.9900,702915
2017-08-18,150.1400,150.8200,149.1900,150.1000,1598319
2017-08-17,151.5300,152.8700,149.9400,149.9700,937753
2017-08-16,152.1200,153.0200,151.1600,152.2700,1007032
2017-08-15,151.2700,152.3800,150.5700,151.5000,831519
2017-08-14,149.1900,151.0700,149.1900,150.5400,954630
2017-08-11,149.0500,150.0000,148.2800,148.4100,951260
2017-08-10,150.2800,150.9100,148.3100,148.3400,904475
2017-08-09,147.7100,150.8900,147.0700,150.7700,1471288
2017-08-08,150.9000,151.1500,148.0700,148.2800,1995661
2017-08-07,151.5600,151.9400,150.7400,150.9500,776959
2017-08-04,152.3600,152.7300,150.9400,151.0300,1107617
2017-08-03,151.6800,152.4600,151.5300,151.9200,1374394
2017-08-02,154.3800,154.7000,151.1200,152.0200,1936845
2017-08-01,154.0000,155.8400,154.0000,154.6300,1972901
2017-07-31,154.5200,154.8400,153.4800,153.5900,1442402
2017-07-28,153.4700,154.0900,152.2900,153.4700,1017154
2017-07-27,158.3500,158.3500,151.8600,153.4500,1476431
2017-07-26,155.3000,156.1800,154.4000,154.5800,1093748
2017-07-25,155.9500,157.4300,154.6300,155.1500,816262
2017-07-24,153.7700,155.1700,153.7200,154.7900,1079951
2017-07-21,150.9000,154.6600,150.9000,153.8500,2475440
2017-07-20,150.3300,151.6300,150.2100,151.1200,1034137
2017-07-19,150.0100,150.3500,149.3800,150.1900,891962
2017-07-18,148.7900,150.1600,148.1900,149.8700,583950
2017-07-17,149.2600,149.9600,148.5700,149.5100,1113680
2017-07-14,149.2200,149.9900,148.5900,149.4700,1349800
2017-07-13,149.3500,150.0100,148.2900,149.6500,1398485
2017-07-12,148.4800,149.8800,148.0200,149.4400,956442
2017-07-11,148.3100,148.5500,146.9600,147.9000,800083
2017-07-10,148.5500,149.2700,148.0400,148.8000,1236998
2017-07-07,146.5100,149.8000,145.9700,148.7900,1303111
2017-07-06,147.2700,147.8700,145.7500,146.3500,1013805
2017-07-05,146.0700,148.4200,146.0700,147.5300,1240074
2017-07-03,146.4200,147.6400,145.7200,145.7200,599777
2017-06-30,146.3800,146.8400,145.7100,145.9900,1928459
2017-06-29,149.1100,149.8800,145.8700,146.0400,1404171
2017-06-28,146.9000,149.0500,146.5800,148.9000,1081510
2017-06-27,146.7100,147.5500,145.5600,146.0900,838008
2017-06-26,147.1700,148.1000,146.1700,146.2700,836822
2017-06-23,145.7800,147.1200,145.1600,146.7000,1481515
2017-06-22,145.2300,145.7000,144.6800,145.3800,1327490
2017-06-21,147.2200,147.6900,144.8000,145.2200,1627521
2017-06-20,149.3700,149.3800,146.8600,147.2200,1329973
2017-06-19,149.5800,150.4000,148.8200,149.4000,1163839
2017-06-16,148.8300,149.1700,147.8500,148.4900,1324332
2017-06-15,146.8900,148.4900,146.2600,148.4400,856413
2017-06-14,146.4600,148.1600,146.2100,147.4100,1138170
2017-06-13,145.9000,146.8800,144.8100,146.5000,1136928
2017-06-12,146.8100,147.0300,144.3500,145.6900,1293087
2017-06-09,145.7000,147.5400,144.7900,146.8100,1064506
2017-06-08,146.0100,146.4200,144.9000,145.6100,1418972
2017-06-07,144.3700,146.3200,144.1000,146.0100,1339007
2017-06-06,144.0000,144.3600,143.4000,143.9300,1056158
2017-06-05,144.1900,144.6800,143.7600,144.4000,583953
2017-06-02,144.0600,144.6400,143.0800,144.1600,1174521
2017-06-01,143.2100,145.3000,143.0900,143.7000,1796745
2017-05-31,140.8300,142.9300,140.5400,142.8100,1404344
2017-05-30,140.0400,140.9200,139.7600,140.8100,635887
2017-05-26,140.6300,141.1100,139.7900,140.2100,972802
2017-05-25,139.9100,140.9000,139.8300,140.6900,506179
2017-05-24,138.2700,139.7200,137.7600,139.5100,759594
2017-05-23,138.5800,139.2300,137.6600,138.2000,812543
2017-05-22,138.4300,139.2000,138.2200,138.7800,601968
2017-05-19,137.6900,138.9900,137.0400,138.1400,751629
2017-05-18,136.6200,138.2600,136.2200,137.4500,881131
2017-05-17,139.0200,139.0200,136.4900,136.5600,984167
2017-05-16,138.3800,139.4500,137.8900,139.0200,1096655
2017-05-15,136.8600,138.4800,136.5800,138.3800,662509
2017-05-12,136.9200,137.3400,136.3700,136.7000,711345
2017-05-11,137.3000,137.4000,136.4900,137.3400,724164
2017-05-10,136.9300,137.9400,136.4900,137.8700,787366
2017-05-09,136.8100,137.7000,136.8100,137.3100,849740
2017-05-08,137.4800,137.8800,136.4300,136.8600,1116539
2017-05-05,136.5600,138.0500,136.3200,137.5500,1052674
2017-05-04,135.9500,137.5700,135.5200,136.6100,1990266
2017-05-03,135.0800,135.7500,134.6600,135.3600,753065
2017-05-02,134.8500,136.1200,134.8500,135.4600,955527
2017-05-01,134.6100,135.4900,134.1200,135.0200,940982
2017-04-28,134.5100,134.9500,133.9500,134.1900,1420633
2017-04-27,134.6700,135.2800,134.2400,135.0900,839284
2017-04-26,135.9700,136.0000,134.1700,134.2300,1108337
2017-04-25,134.3900,136.7500,132.8100,135.6100,1905878
2017-04-24,133.2900,134.5700,132.6600,133.9000,2049153
2017-04-21,131.9000,132.8300,131.3900,131.5200,1274221
2017-04-20,130.8400,132.1900,130.8400,131.8700,985392
2017-04-19,131.0800,131.1800,130.3100,130.5700,1002204
2017-04-18,130.1300,131.1000,129.7800,130.5200,796738
2017-04-17,129.4200,130.8600,129.1900,130.7600,820696
2017-04-13,128.5300,129.2600,128.2600,128.2800,610390
2017-04-12,129.9100,129.9100,128.4200,128.9300,650093
2017-04-11,129.4600,129.6100,128.5100,129.2000,806624
2017-04-10,130.0500,130.3400,128.8500,129.5900,821471
2017-04-07,129.7200,130.5800,129.3800,130.0500,976925
2017-04-06,130.0500,130.6600,129.1700,129.9600,895809
2017-04-05,129.4600,131.6400,128.5000,130.1700,1494262
2017-04-04,128.8700,128.9800,127.6000,128.8200,1365385
2017-04-03,130.4800,131.7200,128.6600,129.3500,1628138
2017-03-31,129.1600,131.5200,128.8800,130.7400,1408046
2017-03-30,128.3200,129.5000,128.0500,129.4000,641943
2017-03-29,128.6100,128.6900,127.7500,128.3100,774203
2017-03-28,128.3100,129.2200,127.8400,128.7200,774961
2017-03-27,128.5400,129.0800,127.9700,128.4500,1147761
2017-03-24,129.4800,130.8000,128.8900,129.6900,982362
2017-03-23,128.5400,130.0400,127.8800,129.1500,858652
2017-03-22,128.2500,128.6900,127.2800,128.4900,2042672
2017-03-21,130.5100,130.9900,127.7700,128.2000,1063631
2017-03-20,129.9200,130.2300,129.2100,129.6900,1261416
2017-03-17,131.3000,131.6300,129.8700,129.9900,2153129
2017-03-16,130.5300,131.8500,130.5300,131.7400,1035691
2017-03-15,131.7500,132.2500,128.9200,130.3500,2640596
2017-03-14,132.3400,133.0800,131.5700,132.1700,619261
2017-03-13,132.0000,132.9500,131.9500,132.5900,871887
2017-03-10,131.5000,132.0800,130.6500,131.6900,1166533
2017-03-09,130.7400,131.5200,130.5000,131.0600,705320
2017-03-08,131.0600,131.2900,130.3400,130.5800,655630
2017-03-07,130.2600,131.2000,130.2600,130.6900,773605
2017-03-06,129.1200,130.8300,129.1200,130.4300,796810
2017-03-03,130.1100,130.5400,129.4600,129.6400,1239226
2017-03-02,130.1500,130.6900,129.7000,130.0000,2024651
2017-03-01,131.1000,131.2000,129.8200,130.0000,2468476
2017-02-28,130.0000,130.1600,129.2200,129.4700,1432736
2017-02-27,130.4300,130.7400,129.7500,129.9900,946656
2017-02-24,130.0200,130.9600,129.5000,130.8200,971038
2017-02-23,130.3800,131.2600,129.3900,130.7800,713414
2017-02-22,129.9900,130.8400,129.9300,130.7800,906394
2017-02-21,130.3200,131.2500,129.9300,130.7600,1273529
2017-02-17,128.3800,130.4200,128.0600,130.3900,1339162
2017-02-16,128.2400,128.9600,127.4500,128.6100,832139
2017-02-15,126.5200,128.6800,126.3000,128.3300,908024
2017-02-14,126.3600,127.4300,126.2100,126.9200,1254885
